                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.65652,                0.32337,                0.86163,                0.99814,                0.99573,                0.99475,                0.86389,                0.67741,                0.29542,                0.83586,             0.00030402,             0.00030402,             0.00030402
                    118,                0.65011,                0.32427,                0.86083,                0.99479,                0.99658,                0.99468,                0.86259,                0.68154,                0.29003,                0.83802,             0.00030049,             0.00030049,             0.00030049
                    119,                 0.6536,                0.32083,                0.86124,                0.99911,                0.99658,                0.99492,                 0.8669,                0.67652,                0.28603,                0.83429,             0.00029695,             0.00029695,             0.00029695
                    120,                0.65166,                0.31725,                0.85825,                0.99908,                0.99744,                  0.995,                0.86161,                0.68147,                 0.2898,                0.83747,             0.00029342,             0.00029342,             0.00029342
                    121,                0.64141,                 0.3172,                0.85568,                0.99858,                0.99744,                0.99499,                0.86042,                 0.6832,                0.28573,                0.83465,             0.00028988,             0.00028988,             0.00028988
                    122,                0.65029,                0.32006,                0.86087,                0.99913,                0.99744,                  0.995,                0.84806,                0.69551,                0.28804,                0.83778,             0.00028635,             0.00028635,             0.00028635
                    123,                0.64362,                0.31517,                0.85372,                0.99874,                0.99658,                0.99476,                0.86167,                0.68842,                0.28654,                0.83669,             0.00028282,             0.00028282,             0.00028282
                    124,                0.65303,                0.32038,                0.85952,                0.99724,                0.99744,                0.99497,                  0.856,                0.68605,                0.28861,                0.84103,             0.00027928,             0.00027928,             0.00027928
                    125,                0.65106,                0.31441,                0.85955,                0.99881,                0.99658,                0.99483,                 0.8679,                0.67827,                0.28429,                0.83576,             0.00027575,             0.00027575,             0.00027575
                    126,                0.63812,                0.31211,                0.85777,                 0.9978,                0.99658,                0.99498,                0.85925,                0.67455,                0.28316,                0.83597,             0.00027221,             0.00027221,             0.00027221
                    127,                0.64694,                0.31998,                 0.8587,                0.99966,                0.99744,                  0.995,                 0.8458,                0.68032,                0.28958,                0.83667,             0.00026868,             0.00026868,             0.00026868
                    128,                0.63842,                0.30946,                0.85929,                0.99914,                0.99611,                  0.995,                0.85279,                0.68331,                0.29254,                0.83409,             0.00026514,             0.00026514,             0.00026514
                    129,                0.64129,                0.31378,                0.85781,                0.99817,                0.99744,                  0.995,                 0.8479,                0.67828,                0.28499,                0.83576,             0.00026161,             0.00026161,             0.00026161
                    130,                0.64128,                0.31192,                0.85392,                0.99894,                0.99744,                  0.995,                0.86239,                0.67788,                0.28304,                0.83346,             0.00025808,             0.00025808,             0.00025808
                    131,                0.65206,                0.31415,                0.86051,                0.99829,                0.99561,                0.99494,                0.85821,                0.67827,                 0.2864,                0.83735,             0.00025454,             0.00025454,             0.00025454
                    132,                0.64691,                0.31324,                0.85804,                0.99953,                0.99573,                  0.995,                0.86591,                0.68666,                0.28443,                0.83658,             0.00025101,             0.00025101,             0.00025101
                    133,                0.64472,                0.31414,                0.86126,                0.99888,                0.99744,                0.99497,                0.85086,                0.68537,                0.28213,                0.83802,             0.00024747,             0.00024747,             0.00024747
                    134,                0.63462,                0.30628,                 0.8582,                0.99829,                0.99744,                  0.995,                0.85478,                0.68291,                0.27929,                 0.8367,             0.00024394,             0.00024394,             0.00024394
                    135,                0.64947,                0.31326,                0.85933,                0.99895,                0.99744,                0.99492,                0.85249,                0.67283,                 0.2813,                0.83491,              0.0002404,              0.0002404,              0.0002404
                    136,                0.63783,                0.30704,                0.86037,                0.99829,                0.99735,                0.99499,                0.86061,                0.67514,                0.28583,                0.83502,             0.00023687,             0.00023687,             0.00023687
                    137,                0.64325,                0.31259,                0.85671,                0.99814,                0.99744,                0.99499,                0.86151,                0.67774,                0.28362,                0.83588,             0.00023334,             0.00023334,             0.00023334
                    138,                0.64064,                0.30985,                0.85795,                0.99899,                0.99744,                  0.995,                 0.8632,                0.67352,                0.27851,                0.83376,              0.0002298,              0.0002298,              0.0002298
                    139,                0.64202,                 0.3087,                0.85781,                0.99956,                0.99744,                  0.995,                 0.8633,                0.68084,                0.28003,                0.83717,             0.00022627,             0.00022627,             0.00022627
                    140,                0.63359,                0.30738,                0.85412,                0.99898,                0.99744,                  0.995,                0.86406,                 0.6777,                0.27692,                 0.8341,             0.00022273,             0.00022273,             0.00022273
                    141,                0.63716,                0.30497,                  0.856,                0.99984,                0.99744,                  0.995,                0.85861,                0.67688,                 0.2772,                0.83595,              0.0002192,              0.0002192,              0.0002192
                    142,                0.62182,                 0.3025,                0.85394,                0.99829,                0.99669,                0.99499,                0.86174,                 0.6665,                0.27715,                0.83274,             0.00021566,             0.00021566,             0.00021566
                    143,                0.63814,                0.30817,                0.86015,                0.99738,                0.99744,                  0.995,                 0.8579,                0.67283,                0.27968,                0.83702,             0.00021213,             0.00021213,             0.00021213
                    144,                0.63826,                0.30611,                0.85375,                0.99928,                0.99744,                  0.995,                0.86247,                0.67424,                0.27883,                0.83512,              0.0002086,              0.0002086,              0.0002086
                    145,                0.62557,                0.30371,                0.85293,                0.99914,                 0.9974,                0.99499,                0.85679,                 0.6754,                0.27729,                0.83374,             0.00020506,             0.00020506,             0.00020506
                    146,                 0.6369,                0.30514,                0.85555,                0.99716,                0.99744,                  0.995,                0.85871,                 0.6775,                0.28032,                0.83335,             0.00020153,             0.00020153,             0.00020153
                    147,                0.63477,                0.30204,                0.85419,                0.99898,                0.99744,                0.99499,                0.86732,                0.67476,                0.27668,                0.83202,             0.00019799,             0.00019799,             0.00019799
                    148,                0.62745,                0.30048,                0.85386,                0.99897,                0.99744,                0.99499,                0.86274,                0.67607,                 0.2745,                0.83401,             0.00019446,             0.00019446,             0.00019446
                    149,                0.62349,                0.30012,                0.85419,                0.99809,                0.99744,                0.99497,                0.86816,                0.68151,                0.27574,                0.83569,             0.00019092,             0.00019092,             0.00019092
                    150,                0.62457,                0.29976,                0.85307,                0.99813,                0.99744,                0.99491,                0.86915,                 0.6817,                0.27499,                0.83483,             0.00018739,             0.00018739,             0.00018739
                    151,                0.62142,                0.29795,                0.85331,                0.99809,                0.99744,                0.99493,                0.86832,                0.68005,                0.27876,                0.83431,             0.00018385,             0.00018385,             0.00018385
                    152,                0.63575,                0.30218,                0.85637,                0.99737,                0.99744,                0.99496,                 0.8682,                0.67728,                0.27422,                0.83416,             0.00018032,             0.00018032,             0.00018032
                    153,                0.62552,                0.29629,                0.85535,                0.99891,                0.99744,                  0.995,                0.86607,                0.67706,                0.27386,                0.83419,             0.00017679,             0.00017679,             0.00017679
                    154,                0.62613,                0.30031,                0.85366,                0.99834,                0.99744,                  0.995,                0.86628,                0.67232,                0.27502,                0.83406,             0.00017325,             0.00017325,             0.00017325
                    155,                0.61361,                0.29336,                 0.8508,                0.99788,                0.99744,                0.99498,                0.86614,                0.67411,                0.27519,                0.83331,             0.00016972,             0.00016972,             0.00016972
