                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.63287,                0.31043,                0.85938,                0.99845,                0.99744,                  0.995,                0.86496,                0.67849,                 0.2838,                0.83736,             0.00023687,             0.00023687,             0.00023687
                    137,                0.64072,                0.31484,                0.85634,                0.99825,                0.99744,                  0.995,                0.86639,                0.68266,                0.28415,                0.83855,             0.00023334,             0.00023334,             0.00023334
                    138,                0.63857,                0.30987,                0.85819,                0.99914,                0.99725,                  0.995,                0.86807,                0.67994,                0.28022,                0.83544,              0.0002298,              0.0002298,              0.0002298
                    139,                0.63604,                0.31079,                0.85687,                0.99829,                0.99732,                  0.995,                0.86662,                0.69142,                0.28638,                0.83854,             0.00022627,             0.00022627,             0.00022627
                    140,                0.63736,                0.31027,                0.85561,                0.99485,                0.99744,                0.99492,                0.86569,                0.68505,                 0.2866,                0.83549,             0.00022273,             0.00022273,             0.00022273
                    141,                0.63435,                0.30749,                0.85497,                0.99775,                0.99744,                0.99494,                0.86324,                0.67922,                0.28498,                0.83481,              0.0002192,              0.0002192,              0.0002192
                    142,                0.62198,                0.30326,                0.85401,                0.99944,                0.99744,                  0.995,                0.86399,                0.67751,                0.27802,                0.83555,             0.00021566,             0.00021566,             0.00021566
                    143,                0.63792,                   0.31,                0.85992,                      1,                0.99701,                  0.995,                0.86612,                0.67869,                0.27466,                0.83723,             0.00021213,             0.00021213,             0.00021213
                    144,                0.63481,                0.30707,                0.85243,                0.99999,                0.99744,                  0.995,                0.86253,                0.68161,                0.27545,                0.83387,              0.0002086,              0.0002086,              0.0002086
                    145,                0.62559,                0.30637,                0.85261,                0.99722,                0.99744,                0.99497,                0.86304,                0.68463,                0.27957,                0.83561,             0.00020506,             0.00020506,             0.00020506
                    146,                0.63583,                0.31028,                0.85542,                0.99782,                0.99744,                0.99498,                0.86591,                0.68467,                0.27955,                0.83544,             0.00020153,             0.00020153,             0.00020153
                    147,                0.63049,                0.30293,                0.85474,                0.99877,                0.99744,                  0.995,                0.86559,                0.68073,                 0.2775,                0.83459,             0.00019799,             0.00019799,             0.00019799
                    148,                0.62798,                0.30109,                0.85444,                0.99731,                0.99744,                  0.995,                0.86712,                0.68592,                0.27825,                0.83591,             0.00019446,             0.00019446,             0.00019446
                    149,                 0.6253,                0.30335,                0.85405,                0.99645,                0.99744,                0.99497,                0.86716,                0.68569,                0.27881,                0.83556,             0.00019092,             0.00019092,             0.00019092
                    150,                 0.6257,                 0.3025,                0.85338,                0.99823,                0.99744,                0.99483,                0.86877,                0.68389,                0.27756,                0.83433,             0.00018739,             0.00018739,             0.00018739
                    151,                 0.6188,                0.30065,                0.85401,                0.99908,                0.99744,                  0.995,                0.86985,                0.68251,                0.27858,                0.83296,             0.00018385,             0.00018385,             0.00018385
                    152,                0.64139,                0.30496,                0.85706,                0.99936,                0.99744,                  0.995,                0.86819,                0.68572,                0.27515,                0.83583,             0.00018032,             0.00018032,             0.00018032
